,result,A,2,3,4,5,6,7,8,9,10,J,Q,K
230,0,3,1,2,0,2,2,2,2,1,1,2,1,1
231,1,3,1,2,0,2,2,2,3,1,1,4,2,1
233,1,3,2,2,1,2,4,2,4,4,2,4,3,1
234,1,4,3,2,2,2,4,2,4,4,2,4,4,3
235,1,4,4,3,4,3,4,4,4,4,3,4,4,3
236,0,1,0,1,0,1,0,0,0,0,1,0,0,1
237,1,1,0,1,1,2,0,0,0,0,1,1,2,1
238,0,1,3,2,1,2,1,1,0,1,2,1,2,1
239,1,1,4,2,1,3,1,1,1,1,3,1,3,1
240,0,2,4,2,2,3,1,1,2,1,3,1,3,2
241,0,3,4,3,3,3,1,1,2,1,4,1,3,3
242,1,4,4,3,3,4,1,2,3,2,4,2,3,3
243,0,4,4,4,4,4,1,2,3,3,4,3,4,3
244,0,4,4,4,4,4,1,4,3,4,4,4,4,4
245,0,0,0,0,0,0,3,0,1,0,0,0,1,0
246,0,0,0,0,1,1,3,0,1,0,1,0,1,1
247,1,1,0,0,1,1,3,0,2,0,2,0,1,2
248,0,2,1,3,1,1,3,1,2,0,3,1,1,2
249,0,2,1,3,1,1,3,2,2,1,3,1,2,3
250,0,2,2,3,2,2,4,3,3,1,3,1,2,3
251,1,3,3,3,2,4,4,3,3,1,3,3,2,3
252,1,3,4,3,3,4,4,3,4,2,3,3,3,4
253,0,4,4,3,3,4,4,4,4,2,4,3,4,4
254,1,0,0,0,0,0,0,0,0,0,0,0,0,0
255,0,0,0,0,1,1,0,0,0,1,0,0,2,0
256,0,0,0,0,1,3,1,1,0,1,0,1,2,0
257,1,0,0,0,1,3,2,1,1,1,1,1,2,1
258,0,1,2,1,1,3,2,2,1,1,2,2,2,1
259,0,2,2,1,1,3,2,2,2,2,2,2,3,1
260,1,3,2,1,1,4,3,2,2,2,3,2,3,1
261,0,3,2,1,3,4,3,2,3,4,3,2,3,1
262,1,3,2,2,3,4,3,2,4,4,4,2,4,2
263,0,4,2,3,3,4,3,3,4,4,4,3,4,2
264,1,4,3,3,3,4,4,3,4,4,4,4,4,4
265,1,1,2,2,1,0,0,2,0,0,0,0,0,1
266,0,1,2,2,1,0,1,2,0,2,1,0,1,1
267,0,1,2,3,2,0,1,2,1,2,2,0,1,2
