,stand,hit,double down,split,surrender
upcard: 8 hand: 12,-49.12868633,-28.69143368,-58.36680054,0,-50
upcard: 8 hand: 19,58.91073967,-81.57894737,-152.9411765,0,-50
upcard: 8 hand: A 3,-31.19730185,1.891265409,-13.29974811,0,-50
upcard: 8 hand: A 7,11.51409853,2.579582876,-21.74757282,0,-50
upcard: 10 hand: A 5,-42.39382239,-21.54117505,-49.34097421,0,-50
upcard: 7 hand: 10,-54.34782609,27.6944472,42.86952679,0,-50
upcard: A hand: 12,-71.82608696,-38.1043673,-76.53508772,0,-50
upcard: 5 hand: 13,-13.67296325,-25.74044157,-51.93965517,0,-50
upcard: 7 hand: 14,-47.26351351,-33.3817285,-79.9382716,0,-50
upcard: 10 hand: 21,96.16426973,-105.2631579,0,0,-50
upcard: 9 hand: 12,-52.80444669,-35.42112257,-82.84789644,0,-50
upcard: 4 hand: A 5,-16.17977528,0.789889415,8.861117394,0,-50
upcard: 5 hand: 17,-3.014582165,-50.66225166,-104.2253521,0,-50
upcard: 9 hand: 4 4,-52.61958998,-21.08788853,-68.08510638,-61.33333333,-50
upcard: 2 hand: A 6,-12.75538377,-1.012083032,0.645117936,0,-50
upcard: 2 hand: 17,-15.34451479,-51.25240848,-151.2195122,0,-50
upcard: 4 hand: 8,-17.62854145,5.975210144,0.087501823,0,-50
upcard: 4 hand: 10,-28.64864865,26.22850123,50.74092742,0,-50
upcard: 8 hand: 17,-39.09942961,-52.62326169,-116.5289256,0,-50
upcard: 10 hand: A A,-43.4623813,-6.537530266,-37.79884584,18.8477833,-50
upcard: 10 hand: A 8,5.827687417,-16.14420063,-56.21621622,0,-50
upcard: 10 hand: A 9,55.69544049,-4,-9.302325581,0,-50
upcard: 10 hand: A 10,98.4243601,14.70588235,-52.77777778,0,-50
upcard: A hand: 14,-62.00256739,-46.47980257,-122.4,0,-50
upcard: 5 hand: 7,-10.53294167,2.70086246,-11.15107914,0,-50
upcard: 6 hand: 4 4,-12.82722513,16.88046647,12.3100304,16.83255269,-50
upcard: 6 hand: A 8,50.46519089,18.40354767,52.88117631,0,-50
upcard: 9 hand: 3 3,-54.14012739,-29.69078355,-108.3333333,-46.51162791,-50
upcard: 9 hand: A 2,-46.43874644,-2.317624986,-19.44444444,0,-50
upcard: 5 hand: A 3,-7.413793103,9.123898393,22.91831461,0,-50
upcard: 8 hand: 5,-50.09140768,-19.20293768,-90,0,-50
upcard: 5 hand: 6,-13.77440347,-0.011145166,-17.56653992,0,-50
upcard: A hand: 15,-59.81441827,-50.64950802,-91.24087591,0,-50
upcard: A hand: 18,-18.93190589,-68.70503597,-140.8163265,0,-50
upcard: 5 hand: A 5,-4.07079646,6.317804722,15.95413914,0,-50
upcard: 2 hand: 13,-29.02910756,-30.88547059,-68.09954751,0,-50
upcard: 3 hand: 11,-23.26732673,29.2325173,54.93981493,0,-50
upcard: 2 hand: 11,-26.3681592,26.71615889,52.0875287,0,-50
upcard: 5 hand: 8,-15.06329114,11.18103191,5.5173382,0,-50
upcard: A hand: 7,-64.16382253,-33.52221555,-131.9444444,0,-50
upcard: 8 hand: 10,-51.72413793,20.79658089,30.47815244,0,-50
upcard: 9 hand: 14,-53.48789913,-43.19869042,-90.90909091,0,-50
upcard: 9 hand: 21,93.80511311,-105.2631579,0,0,-50
upcard: 7 hand: 8,-55.08982036,8.408022867,-9.946595461,0,-50
upcard: 4 hand: 9,-16.18625277,14.83324368,24.67247349,0,-50
upcard: 7 hand: A 8,64.42782917,20.12779553,29.31392931,0,-50
upcard: 5 hand: 5 5,-8.02919708,31.98051948,56.07088989,-5.479452055,-50
upcard: 7 hand: 19,62.0866963,-71.42857143,-127.2727273,0,-50
upcard: 10 hand: 7,-58.24847251,-32.74571091,-87.34177215,0,-50
upcard: 6 hand: 7,-9.915296462,5.055459562,-3.606482538,0,-50
upcard: 6 hand: 10,-5.610561056,34.70139771,62.29354169,0,-50
upcard: 7 hand: 21,92.72926141,-100,0,0,-50
upcard: 3 hand: A 7,15.10500808,4.542664211,20.60778727,0,-50
upcard: 9 hand: A 6,-34.07049067,-14.18980654,-32.98004988,0,-50
upcard: 4 hand: 5,-27.95454545,-4.849044031,-29.5,0,-50
upcard: 5 hand: 10,-18.95734597,31.38324244,58.60460018,0,-50
upcard: 8 hand: A 5,-39.23611111,-7.620792306,-16.80047577,0,-50
upcard: A hand: 6 6,-63.7630662,-40.01279045,-152,-69.31818182,-50
upcard: A hand: A 6,-39.86636971,-23.03298198,-59.62441315,0,-50
upcard: A hand: A 9,62.68868155,-1.960784314,9.302325581,0,-50
upcard: 6 hand: 16,-9.864935943,-39.47730399,-64.1025641,0,-50
upcard: 7 hand: 9,-46.34146341,17.72134053,14.2384106,0,-50
upcard: 3 hand: J J,64.90614887,-78.78787879,-210,34.60721868,-50
upcard: 8 hand: 8 8,-52.0661157,-51.61290323,-76.98412698,-3.986220472,-50
upcard: 9 hand: 7 7,-53.03292894,-47.26166329,-109.352518,-62.92481977,-50
upcard: 3 hand: 12,-24.68471407,-22.74071936,-52.71966527,0,-50
upcard: A hand: K K,61.3648673,-86.66666667,-133.3333333,-3.007518797,-50
upcard: 10 hand: 8 8,-53.73208723,-51.90546287,-94.88054608,-50.73838718,-50
upcard: 5 hand: 15,-14.35988761,-38.96353167,-178.5714286,0,-50
upcard: 2 hand: 21,87.70425777,-137.5,0,0,-50
upcard: 8 hand: 15,-50.55964183,-41.62566869,-91.1971831,0,-50
upcard: 8 hand: 11,-58.7628866,23.07794981,34.97617571,0,-50
upcard: 10 hand: A 4,-44.09090909,-17.46384735,-53.15549772,0,-50
upcard: 3 hand: 6 6,-25.12926577,-25.04854369,-50.18315018,-7.541322314,-50
upcard: 3 hand: 9,-27.176781,9.672063097,15.0777512,0,-50
upcard: 3 hand: A 5,-19.67213115,0.508829692,1.228335857,0,-50
upcard: 8 hand: 7,-48.4774665,-22.45470455,-81.81818182,0,-50
upcard: 6 hand: 21,90.13626195,-100,0,0,-50
upcard: 7 hand: 20,77.37666661,-85.71428571,-200,42.68077601,-50
upcard: 7 hand: A 2,-41.77777778,11.49818102,0.763358779,0,-50
