,stand,hit,double down,split,surrender
upcard: 6 hand: 14 cv bin: 1,-10.516641426110828,-30.784982935153582,-65.8119658119658,0.0,0
upcard: 2 hand: 11 cv bin: 1,-43.965517241379295,27.334300919206598,52.10846317765043,0.0,0
upcard: 5 hand: 5 cv bin: 2,-9.881061299176588,7.2204781453755515,-11.974789915966394,0.0,0
upcard: 7 hand: 14 cv bin: 0,-45.595854922279834,-28.9018128560359,-67.08333333333337,0.0,0
upcard: A hand: 13 cv bin: 0,-63.00630063006301,-39.38872702168277,-83.56545961002784,0.0,0
upcard: 2 hand: 6 cv bin: 0,-31.438721136767327,-17.551418583854996,-75.40983606557378,0.0,0
upcard: 10 hand: 14 cv bin: 1,-54.958733594912715,-45.9969802819036,-88.61985472154964,0.0,0
upcard: A hand: 12 cv bin: 0,-73.6286919831224,-35.926863715598216,-99.44444444444444,0.0,0
upcard: 3 hand: 16 cv bin: 0,-28.95659862227099,-49.13448735019973,-81.5384615384615,0.0,0
upcard: 4 hand: A 2 cv bin: 0,-7.49674054758801,8.158694608862572,-6.0270602706027105,0.0,0
upcard: 5 hand: 17 cv bin: 0,-9.529259339235502,-54.83870967741937,-119.35483870967742,0.0,0
upcard: 10 hand: Q Q cv bin: 1,57.32476834745049,-88.23529411764706,-173.33333333333334,-7.792207792207794,0
upcard: 10 hand: 19 cv bin: 1,8.072091316999463,-66.42335766423363,-172.0,0.0,0
upcard: 10 hand: A 5 cv bin: 1,-43.93574297188753,-21.727139105877757,-46.092977250247294,0.0,0
upcard: 10 hand: 12 cv bin: 1,-55.14842300556586,-37.427755957590584,-75.89641434262948,0.0,0
upcard: 8 hand: 13 cv bin: 1,-52.01525054466231,-33.89772935120566,-67.66666666666666,0.0,0
upcard: 5 hand: 11 cv bin: 1,-15.343915343915356,37.077385424492725,69.92232751581071,0.0,0
upcard: 7 hand: 14 cv bin: 1,-49.298409728718426,-32.76009925920524,-82.03389830508473,0.0,0
upcard: 10 hand: 5 cv bin: 1,-53.26278659611994,-30.960383615667293,-122.98850574712644,0.0,0
upcard: 3 hand: 20 cv bin: 1,64.35496342116274,-90.625,-184.6153846153846,-209.0909090909091,0
upcard: 3 hand: 14 cv bin: 1,-24.111286251253865,-33.54688410017469,-82.77511961722482,0.0,0
upcard: 3 hand: 16 cv bin: 1,-23.890260760660276,-48.72549019607845,-92.81045751633988,0.0,0
upcard: 8 hand: 17 cv bin: 1,-39.370060050793754,-53.36292249914646,-89.00343642611683,0.0,0
upcard: 4 hand: 13 cv bin: 2,-11.479351927907357,-26.807610993657498,-56.16045845272204,0.0,0
upcard: 7 hand: 6 cv bin: 1,-46.4163822525597,-17.411426747526317,-89.68253968253971,0.0,0
upcard: 7 hand: 11 cv bin: 1,-26.162790697674417,32.646164244677095,47.77036100797874,0.0,0
upcard: 10 hand: 7 7 cv bin: 2,-54.78584729981381,-55.098551890587245,-158.73015873015873,-75.92385218365061,0
upcard: 9 hand: A 9 cv bin: 2,78.37641839433545,13.20754716981132,-109.52380952380952,0.0,0
upcard: 5 hand: 16 cv bin: 1,-13.184666002748157,-47.05882352941178,-72.68292682926835,0.0,0
upcard: 5 hand: 17 cv bin: 1,-2.159898415179103,-65.7608695652174,-102.66666666666667,0.0,0
upcard: 2 hand: 9 cv bin: 1,-30.26315789473686,5.900770712909443,10.723936404197811,0.0,0
upcard: 10 hand: 19 cv bin: 0,11.482741261423918,-69.82758620689657,-157.14285714285714,0.0,0
upcard: 10 hand: 21 cv bin: 0,95.5063367049133,-110.52631578947368,0.0,0.0,0
upcard: 9 hand: A 3 cv bin: 0,-51.13808801213965,-2.7804487179487247,-44.07294832826749,0.0,0
upcard: 9 hand: A 6 cv bin: 0,-35.00570125427594,-9.83645839573477,-41.57303370786515,0.0,0
upcard: 9 hand: 17 cv bin: 0,-40.22047395491193,-52.19486081370453,-122.93577981651376,0.0,0
upcard: 10 hand: 4 4 cv bin: 0,-48.849104859335036,-23.050068902158884,-71.69811320754717,-100.0,0
upcard: 7 hand: 8 cv bin: 0,-42.70072992700729,6.230418046728117,-55.3072625698324,0.0,0
upcard: 10 hand: 8 cv bin: 1,-58.10147299509003,-24.971406406954102,-74.40273037542664,0.0,0
upcard: 7 hand: 9 cv bin: 1,-44.97041420118345,18.065168364569555,16.48386685371763,0.0,0
upcard: 7 hand: 16 cv bin: 1,-47.56084369929694,-41.02518739233663,-80.31319910514544,0.0,0
upcard: 10 hand: 19 cv bin: 2,3.4469108583454475,-78.2608695652174,-173.07692307692307,0.0,0
upcard: 10 hand: A 9 cv bin: 1,56.06429172255442,-1.8691588785046718,-3.9408866995073892,0.0,0
upcard: 6 hand: 10 cv bin: 0,-14.67576791808874,27.230229840280483,49.46937896889458,0.0,0
upcard: 7 hand: 20 cv bin: 1,77.53938122356585,-89.28571428571429,-126.3157894736842,-271.42857142857144,0
upcard: 7 hand: 15 cv bin: 1,-46.535244922341775,-36.60229121240437,-79.27461139896369,0.0,0
upcard: 8 hand: 18 cv bin: 2,10.73317993195261,-59.863945578231295,-140.0,0.0,0
upcard: 6 hand: 17 cv bin: 2,12.860369801127069,-59.15492957746479,-146.66666666666666,0.0,0
