,stand,hit,double down,split,surrender
upcard: 9 hand: 20 cv bin: 1,74.65300727032466,-96.00000000000001,-183.33333333333334,-103.84615384615384,0
upcard: 8 hand: 14 cv bin: 1,-49.506346967559864,-36.92174011598245,-84.61538461538461,0.0,0
upcard: 7 hand: 15 cv bin: 0,-49.84765386959171,-31.77816901408434,-56.37305699481865,0.0,0
upcard: 3 hand: A 3 cv bin: 0,-17.80626780626782,3.4064516129032243,-1.163310961968678,0.0,0
upcard: 7 hand: 13 cv bin: 0,-45.45454545454542,-24.76418205804743,-52.356687898089184,0.0,0
upcard: 4 hand: 7 cv bin: 0,-27.511312217194565,-8.41795831106351,-42.11663066954636,0.0,0
upcard: 4 hand: 17 cv bin: 0,-12.845715695749588,-52.79187817258883,-107.50000000000003,0.0,0
upcard: 2 hand: 14 cv bin: 0,-32.97134715846147,-33.627498388136665,-62.100456621004525,0.0,0
upcard: A hand: 18 cv bin: 0,-20.52699510508251,-64.24242424242428,-165.71428571428572,0.0,0
upcard: 10 hand: 11 cv bin: 0,-51.648351648351635,8.899531947316822,10.036627881319795,0.0,0
upcard: 3 hand: A 2 cv bin: 1,-12.107208872458415,3.1619047619047604,-15.849056603773587,0.0,0
upcard: 3 hand: 13 cv bin: 2,-18.501835168501874,-38.37298541826554,-70.37037037037031,0.0,0
upcard: 9 hand: 20 cv bin: 2,76.23785832740982,-72.72727272727275,-169.23076923076923,-69.56521739130436,0
upcard: 9 hand: 21 cv bin: 2,94.19042495965547,-86.36363636363636,0.0,0.0,0
upcard: 4 hand: A 2 cv bin: 1,-3.0656934306569394,4.966329966329961,18.263187964197257,0.0,0
upcard: 9 hand: 6 cv bin: 2,-55.932203389830526,-35.498184751916156,-126.02739726027397,0.0,0
upcard: 4 hand: 12 cv bin: 2,-10.992015157666826,-19.687571789570416,-36.42773207990602,0.0,0
upcard: 3 hand: 20 cv bin: 2,64.45990751243413,-87.5,-160.0,11.811023622047237,0
upcard: 7 hand: 17 cv bin: 1,-9.78576919220617,-55.03144654088048,-174.07407407407408,0.0,0
upcard: 3 hand: 15 cv bin: 0,-29.000500905483026,-37.852747719074856,-60.79734219269103,0.0,0
upcard: 3 hand: 20 cv bin: 0,64.47841512488971,-103.84615384615384,-200.0,15.750915750915752,0
upcard: 8 hand: 9 cv bin: 0,-66.94915254237287,7.813172621609987,-12.037833190025792,0.0,0
upcard: 10 hand: 10 cv bin: 1,-55.1219512195122,2.412200195790489,-0.838732068486813,0.0,0
upcard: 10 hand: 4 4 cv bin: 1,-54.45920303605314,-25.378206533654897,-68.84057971014492,-77.03349282296656,0
upcard: 10 hand: A 10 cv bin: 1,98.03961360500035,-4.477611940298508,-60.0,0.0,0
upcard: 7 hand: 11 cv bin: 0,-47.52475247524753,28.20472440944883,37.56154170769459,0.0,0
upcard: 7 hand: 14 cv bin: 0,-47.027027027027,-29.287130419791453,-62.17162872154114,0.0,0
